ID,Filename,Category,Subcategory,Type,Resolution,Prompt,Tool,Status,Notes
AVT-REF-0001,SisiLola_Reference_Sheet_v01.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 1/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 1
AVT-REF-0002,SisiLola_Reference_Sheet_v02.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 2/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 2
AVT-REF-0003,SisiLola_Reference_Sheet_v03.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 3/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 3
AVT-REF-0004,SisiLola_Reference_Sheet_v04.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 4/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 4
AVT-REF-0005,SisiLola_Reference_Sheet_v05.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 5/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 5
AVT-REF-0006,SisiLola_Reference_Sheet_v06.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 6/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 6
AVT-REF-0007,SisiLola_Reference_Sheet_v07.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 7/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 7
AVT-REF-0008,SisiLola_Reference_Sheet_v08.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 8/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 8
AVT-REF-0009,SisiLola_Reference_Sheet_v09.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 9/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 9
AVT-REF-0010,SisiLola_Reference_Sheet_v10.png,01_AVATAR_DNA,01_Reference_Sheets,Image,8K (7680x4320),"Character reference sheet of Sisi Lola, African virtual host, view 10/10: front/side/back/3-4 view, full body, hyper-realistic, dark skin with subtle holographic glow, afro-futurist blazer, geometric face markings, professional model sheet layout, white background, multiple angles, Unreal Engine 5 quality, 8k --seed 45822 --style raw",Midjourney v6 / DALL-E 3,Pending Generation,Master reference angle 10
